GAS
N2	9999
SO2	100
NO	100

FLOW
1	True	100	100	100	57	48			
2	True	110	100	100	7	14			
3	True	110	120	100	8	38			

SPEC
1	2	3	
329344	329363.2	329606.4	
320499.2	320473.6	320784	
314019.2	314054.4	314377.6	
315705.6	315670.4	315971.2	
321164.8	321158.4	321446.4	
314710.4	314707.2	314931.2	
304816	304816	305024	
293526.4	293507.2	293772.8	
281456	281446.4	281737.6	
272908.8	272860.8	273116.8	
265043.2	265011.2	265232	
256422.4	256387.2	256684.8	
252784	252748.8	253056	
255539.2	255561.6	255804.8	
265212.8	265206.4	265488	
271836.8	271859.2	272121.6	
264883.2	264889.6	265145.6	
256259.2	256211.2	256438.4	
249737.6	249740.8	250003.2	
245689.6	245721.6	246003.2	
244284.8	244256	244508.8	
247488	247504	247760	
253980.8	253929.6	254179.2	
259715.2	259644.8	259936	
263155.2	263116.8	263372.8	
264822.4	264806.4	265059.2	
266892.8	266915.2	267120	
268684.8	268595.2	268851.2	
270313.6	270307.2	270560	
276681.6	276684.8	276880	
286144	286128	286409.6	
293308.8	293315.2	293590.4	
298889.6	298864	299171.2	
300790.4	300729.6	300972.8	
298806.4	298819.2	299065.6	
296617.6	296633.6	296880	
299120	299084.8	299379.2	
304268.8	304278.4	304652.8	
312409.6	312387.2	312672	
325561.6	325590.4	325900.8	
333017.6	333011.2	333369.6	
339676.8	339664	339990.4	
353462.4	353446.4	353772.8	
368761.6	368806.4	369113.6	
380179.2	380169.6	380400	
385603.2	385539.2	385910.4	
391376	391366.4	391673.6	
408316.8	408281.6	408652.8	
418662.4	418553.6	418950.4	
425401.6	425398.4	425785.6	
437756.8	437654.4	438044.8	
455452.8	455417.6	455894.4	
483168	483161.6	483708.8	
507430.4	507305.6	507673.6	
515283.2	515254.4	515760	
515875.2	515849.6	516262.4	
523868.8	523843.2	524262.4	
541120	541065.6	541523.2	
562492.8	562483.2	562873.6	
578412.8	578416	578976	
600537.6	600508.8	600992	
626937.6	626956.8	627414.4	
635734.4	635724.8	635961.6	
637094.4	637139.2	637372.8	
637376	637430.4	637651.2	
636188.8	636201.6	636435.2	
635494.4	635520	635792	
637942.4	637945.6	638182.4	
645897.6	645852.8	645996.8	
651932.8	651916.8	652070.4	
651606.4	651612.8	651772.8	
649331.2	649324.8	649510.4	
647648	647638.4	647849.6	
650198.4	650195.2	650332.8	
657014.4	656979.2	657171.2	
667801.6	667814.4	667952	
683017.6	683001.6	683126.4	
698723.2	698720	698899.2	
711824	711846.4	712028.8	
721331.2	721308.8	721452.8	
724656	724630.4	724822.4	
732662.4	732646.4	732771.2	
751785.6	751788.8	751888	
775513.6	775542.4	775619.2	
793996.8	793993.6	794067.2	
809280	809292.8	809347.2	
824220.8	824249.6	824316.8	
833852.8	833859.2	833856	
836716.8	836780.8	836854.4	
835148.8	835155.2	835129.6	
828540.8	828569.6	828598.4	
817241.6	817267.2	817308.8	
804588.8	804582.4	804684.8	
793612.8	793603.2	793654.4	
787616	787651.2	787692.8	
787129.6	787136	787196.8	
785625.6	785638.4	785660.8	
777171.2	777148.8	777235.2	
761888	761888	761990.4	
743520	743510.4	743638.4	
725948.8	725939.2	726083.2	
712256	712291.2	712451.2	
704777.6	704784	704947.2	
705206.4	705200	705356.8	
714864	714844.8	714972.8	
731040	731046.4	731136	
741766.4	741756.8	741856	
741968	741964.8	742092.8	
738057.6	738022.4	738156.8	
732905.6	732905.6	732988.8	
726265.6	726249.6	726374.4	
720147.2	720150.4	720262.4	
718832	718787.2	718924.8	
727232	727180.8	727340.8	
735593.6	735616	735740.8	
734320	734329.6	734489.6	
726371.2	726387.2	726438.4	
717830.4	717817.6	717900.8	
712681.6	712652.8	712787.2	
713673.6	713644.8	713862.4	
719139.2	719139.2	719299.2	
723059.2	723030.4	723145.6	
723984	723926.4	724086.4	
724886.4	724908.8	725043.2	
727184	727187.2	727308.8	
730992	730976	731065.6	
736662.4	736614.4	736707.2	
745686.4	745667.2	745811.2	
756556.8	756499.2	756665.6	
767382.4	767369.6	767491.2	
778051.2	778032	778108.8	
789216	789187.2	789171.2	
800393.6	800416	800470.4	
810857.6	810848	810886.4	
820755.2	820726.4	820764.8	
830153.6	830185.6	830243.2	
836924.8	836953.6	836931.2	
840060.8	840076.8	840038.4	
840742.4	840748.8	840732.8	
840435.2	840457.6	840518.4	
838736	838716.8	838803.2	
834294.4	834288	834339.2	
826489.6	826544	826598.4	
817760	817776	817840	
810451.2	810432	810537.6	
805664	805632	805686.4	
803747.2	803728	803788.8	
804368	804371.2	804454.4	
807555.2	807587.2	807705.6	
813974.4	813964.8	814067.2	
822758.4	822771.2	822848	
832192	832185.6	832233.6	
839020.8	839030.4	839046.4	
840400	840451.2	840380.8	
840521.6	840550.4	840512	
